name,language,percentage
Grenada,"Creole English",100.0
"El Salvador",Spanish,100.0
Cuba,Spanish,100.0
Rwanda,Rwanda,100.0
"San Marino",Italian,100.0
Bermuda,English,100.0
"Cape Verde",Crioulo,100.0
Maldives,Dhivehi,100.0
"Western Sahara",Arabic,100.0
"Faroe Islands",Faroese,100.0
Haiti,"Haiti Creole",100.0
"Saint Kitts and Nevis","Creole English",100.0
Dominica,"Creole English",100.0
"South Korea",Korean,99.9
"North Korea",Korean,99.9
Yemen,Arabic,99.6
"Bosnia and Herzegovina",Serbo-Croatian,99.2
Japan,Japanese,99.1
"Saint Vincent and the Grenadines","Creole English",99.1
Colombia,Spanish,99.0
Portugal,Portuguese,99.0
Madagascar,Malagasy,98.9
Kiribati,Kiribati,98.9
Egypt,Arabic,98.8
Hungary,Hungarian,98.5
Greece,Greek,98.5
Ireland,English,98.4
Tonga,Tongan,98.3
Somalia,Somali,98.3
Burundi,Kirundi,98.1
"Dominican Republic",Spanish,98.0
Albania,Albaniana,97.9
Jordan,Arabic,97.9
Bangladesh,Bengali,97.7
Nicaragua,Spanish,97.6
Poland,Polish,97.6
Brazil,Portuguese,97.5
"Costa Rica",Spanish,97.5
"United Kingdom",English,97.3
Honduras,Spanish,97.2
Venezuela,Spanish,96.9
"Marshall Islands",Marshallese,96.8
Argentina,Spanish,96.8
Martinique,"Creole French",96.6
Norway,Norwegian,96.6
Guyana,"Creole English",96.4
"Libyan Arab Jamahiriya",Arabic,96.0
Palestine,Arabic,95.9
Croatia,Serbo-Croatian,95.9
Malta,Maltese,95.8
"Antigua and Barbuda","Creole English",95.7
Uruguay,Spanish,95.7
Iceland,Icelandic,95.7
Netherlands,Dutch,95.6
Barbados,Bajan,95.1
Guadeloupe,"Creole French",95.0
"Saudi Arabia",Arabic,95.0
"French Guiana","Creole French",94.3
Jamaica,"Creole English",94.2
Italy,Italian,94.1
France,French,93.6
Denmark,Danish,93.5
"Trinidad and Tobago",English,93.5
Armenia,Armenian,93.4
Lebanon,Arabic,93.0
Ecuador,Spanish,93.0
Finland,Finnish,92.7
Tuvalu,Tuvalu,92.5
Mexico,Spanish,92.1
Austria,German,92.0
China,Chinese,92.0
R̩union,"Creole French",91.5
Germany,German,91.3
Seychelles,Seselwa,91.3
Romania,Romanian,90.7
"American Samoa",Samoan,90.6
Syria,Arabic,90.0
Swaziland,Swazi,89.9
Chile,Spanish,89.7
Bahamas,"Creole English",89.7
Sweden,Swedish,89.5
