title,description,release_year,rating,special_features,name
"APOLLO TEEN","A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft",2006,PG-13,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",Drama
"BUNCH MINDS","A Emotional Story of a Feminist And a Feminist who must Escape a Pastry Chef in A MySQL Convention",2006,G,"Behind the Scenes",Drama
"CHITTY LOCK","A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station",2006,G,Commentaries,Drama
"DARKNESS WAR","A Touching Documentary of a Husband And a Hunter who must Escape a Boy in The Sahara Desert",2006,NC-17,"Deleted Scenes,Behind the Scenes",Drama
"DIARY PANIC","A Thoughtful Character Study of a Frisbee And a Mad Cow who must Outgun a Man in Ancient India",2006,G,"Commentaries,Behind the Scenes",Drama
"GONE TROUBLE","A Insightful Character Study of a Mad Cow And a Forensic Psychologist who must Conquer a A Shark in A Manhattan Penthouse",2006,R,"Deleted Scenes,Behind the Scenes",Drama
"JACKET FRISCO","A Insightful Reflection of a Womanizer And a Husband who must Conquer a Pastry Chef in A Baloon",2006,PG-13,"Trailers,Deleted Scenes,Behind the Scenes",Drama
"LEBOWSKI SOLDIERS","A Beautiful Epistle of a Secret Agent And a Pioneer who must Chase a Astronaut in Ancient China",2006,PG-13,"Commentaries,Deleted Scenes",Drama
"LUCK OPUS","A Boring Display of a Moose And a Squirrel who must Outrace a Teacher in A Shark Tank",2006,NC-17,"Trailers,Commentaries,Behind the Scenes",Drama
"ORIENT CLOSER","A Astounding Epistle of a Technical Writer And a Teacher who must Fight a Squirrel in The Sahara Desert",2006,R,"Commentaries,Deleted Scenes",Drama
"RACER EGG","A Emotional Display of a Monkey And a Waitress who must Reach a Secret Agent in California",2006,NC-17,"Trailers,Commentaries,Deleted Scenes",Drama
"SAINTS BRIDE","A Fateful Tale of a Technical Writer And a Composer who must Pursue a Explorer in The Gulf of Mexico",2006,G,"Deleted Scenes",Drama
"SEA VIRGIN","A Fast-Paced Documentary of a Technical Writer And a Pastry Chef who must Escape a Moose in A U-Boat",2006,PG,"Deleted Scenes",Drama
"UNFAITHFUL KILL","A Taut Documentary of a Waitress And a Mad Scientist who must Battle a Technical Writer in New Orleans",2006,R,"Commentaries,Deleted Scenes",Drama
"WARDROBE PHANTOM","A Action-Packed Display of a Mad Cow And a Astronaut who must Kill a Car in Ancient India",2006,G,"Trailers,Commentaries",Drama
